particle,frame,y,x,equivalent_diameter,perimeter,eccentricity,orientation_x_2_sin,orientation_x_2_cos,true_solidity,solidity,area,mean_intensity,angle,wtd_frame,wtd_y,wtd_x,wtd_equivalent_diameter,wtd_perimeter,wtd_eccentricity,wtd_orientation_x_2_sin,wtd_orientation_x_2_cos,wtd_true_solidity,wtd_solidity,wtd_area,wtd_mean_intensity,wtd_angle,bbox_top,bbox_left,bbox_bottom,bbox_right
1,0.000000,156.830213,154.513649,60.499501,638.088098,0.979294,-0.327950,-0.944695,0.094814,0.289438,2874.706200,1.000000,-1.403730,0.000000,180.264613,177.601896,52.154742,183.358649,4.896469,-1.639748,-4.723476,1.489330,0.289438,3798.000000,1.000000,-1.403730,29.000000,137.000000,303.000000,213.000000
1,1.000000,145.626691,148.992359,90.059011,510.264321,0.966042,-0.401687,-0.915777,0.176495,0.702211,6370.070400,3.000000,-1.364117,10.200000,167.387001,171.255585,77.637079,146.627679,4.830212,-2.008433,-4.578886,2.772374,0.702211,8416.000000,3.000000,-1.364117,59.000000,135.000000,302.000000,212.000000
1,2.000000,141.314478,145.360868,86.811586,533.239383,0.971079,-0.438730,-0.898619,0.162800,0.696783,5918.958000,3.000000,-1.343704,20.400000,162.430435,167.081458,74.837574,153.229708,4.855396,-2.193649,-4.493095,2.557263,0.696783,7820.000000,3.000000,-1.343704,35.000000,134.000000,295.000000,204.000000
1,3.000000,140.240281,144.776425,89.339172,560.482309,0.978898,-0.458555,-0.888666,0.159397,0.693693,6268.645800,3.000000,-1.332612,30.600000,161.195726,166.409684,77.016528,161.058135,4.894491,-2.292774,-4.443331,2.503801,0.693693,8282.000000,3.000000,-1.332612,28.000000,131.000000,300.000000,206.000000
1,4.000000,142.565240,144.323848,94.216660,566.845236,0.981465,-0.446466,-0.894801,0.166212,0.758357,6971.805900,2.000000,-1.339390,40.800000,163.868092,165.889480,81.221258,162.886562,4.907326,-2.232330,-4.474003,2.610857,0.758357,9211.000000,2.000000,-1.339390,27.000000,131.000000,307.000000,209.000000
1,5.000000,141.005668,141.915069,88.971653,543.169749,0.980570,-0.459406,-0.888227,0.163801,0.733000,6217.176600,2.000000,-1.332133,51.000000,162.075481,163.120769,76.699701,156.083261,4.902848,-2.297028,-4.441133,2.572977,0.733000,8214.000000,2.000000,-1.332133,38.000000,131.000000,303.000000,209.000000
1,6.000000,147.185193,142.243826,90.619069,553.733407,0.983222,-0.455973,-0.889994,0.163651,0.689011,6449.544900,2.000000,-1.334064,61.200000,169.178383,163.498650,78.119887,159.118795,4.916111,-2.279863,-4.449969,2.570625,0.689011,8521.000000,2.000000,-1.334064,37.000000,130.000000,298.000000,213.000000
1,7.000000,141.079282,139.890047,85.907680,531.623041,0.980743,-0.446820,-0.894624,0.161595,0.714033,5796.340200,5.000000,-1.339193,71.400000,162.160094,160.793157,74.058345,152.765242,4.903715,-2.234099,-4.473120,2.538330,0.714033,7658.000000,5.000000,-1.339193,34.000000,129.000000,286.000000,208.000000
1,8.000000,152.873519,142.856674,89.236636,535.277920,0.984042,-0.448229,-0.893919,0.166711,0.722922,6254.264700,2.000000,-1.338405,81.600000,175.716689,164.203074,76.928134,153.815494,4.920212,-2.241143,-4.469595,2.618688,0.722922,8263.000000,2.000000,-1.338405,40.000000,132.000000,299.000000,209.000000
1,9.000000,154.742723,141.395699,88.760184,547.854504,0.982400,-0.440589,-0.897709,0.162014,0.732068,6187.657500,2.000000,-1.342669,91.800000,177.865199,162.523792,76.517400,157.429455,4.912001,-2.202943,-4.488546,2.544912,0.732068,8175.000000,2.000000,-1.342669,42.000000,131.000000,302.000000,210.000000
